AnimalID;Breed;ShotsDate;Sex;ReceiptNumber;DateImpounded;PitNumber;Name;KennelNumber;DispositionDate;Color;Code;ApproxWeight;Age category;Source;Status;ACO;EnteredBy
16881;Shih Tzu;;M/N;08-204901DI -TU;2008-10-19;20078;Cookie;200;;White & Tan;;10lbs;;HOLDING STRAY;Redeemed;5;Bill Stevenson
16882;Shih Tzu X;;M/N;08/204909 rf;2008-10-20;20001;Jeffrey;200;;Black & White;;12 lbs;;BROUGHT-IN;Redeemed;rf;Rachel Blyth
16888;Yorkee X poodle?;;F;;2008-10-21;20001;;200;;Black & White;;8 lbs;;HOLDING STRAY;Redeemed;#17;Dalia Tauber
16891;Rottweiler;;M/N;;2008-10-22;20080;Kaden;200;;Black & Tan;;70;;;Redeemed;KE;Katie Ernst
16892;Lab;;F/S;08-205151DI mw;2008-10-22;20080;Digi;200;;Yellow;;;;BROUGHT-IN;Redeemed;Melody Woodard;Melody Woodard
16897;Jack Russell Terrier;;F;08-205368DI-TU;2008-10-24;20062;Bobbi;200;;Brown & White;;15Lbs;;HOLDING STRAY;Redeemed;21;Guy Palanuik
16898;Beagle X;;M/N;;2008-10-24;40023;;400;;Brown & White;;30;;BROUGHT-IN;Ride Home Free;KE;Katie Ernst
16902;Chinchilla;;F;;2008-10-25;10000;;100;;Black;;;;BROUGHT-IN;Transferred;MA;Mariana Ardeleanu
16906;Golden Ret X;2008-12-10;F;;2008-10-26;10000;;100;;Red;;55 lbs;;HOLDING STRAY;Transferred;15;Ching Koo
16907;Terrier X;;M;n/c rf;2008-10-26;40021;Money;400;;Lite Brown;;;;HOLDING STRAY;Ride Home Free;MA#11;Mariana Ardeleanu
16913;Malamute X;2008-11-01;F/S;08-209592DAAK;2008-10-29;20067;Kiera;200;;White & Cream;;80;;BROUGHT-IN;Sold;KE;Katie Ernst
16920;Lab X;;F/S;;2008-10-31;40037;Jango;400;;Black;;;;BROUGHT-IN;Ride Home Free;;Arlene Kumar
16923;Border Collie;2008-12-10;M;08-206142DI-RF;2008-11-02;20013;Stringer;200;;Black & White;;45 lbs;;BROUGHT-IN;Redeemed;MA #11;Arlene Kumar
16930;Pekingese;2008-12-10;M;n/c rf;2008-11-04;20078;Ding Dong;200;;Grey & Black & White;;10lbs;;HOLDING STRAY;Redeemed;;Dalia Tauber
16931;Akita X;2008-12-10;M/N;n/c rf;2008-11-03;20041;Rocko;200;;Tan & White;;70;;HOLDING STRAY;Redeemed;BS;Bill Stevenson
16936;Husky;;F/S;08/209862 rf;2008-11-08;20085;Aster;200;;White & Red;;50lbs;;HOLDING STRAY;Redeemed;MA#11;Mariana Ardeleanu
16941;Terrier X;;M;08-210629DI-TU;2008-11-12;20078;Ricci;200;;White;;;;PATROL;Redeemed;Duty Driver;Rachel Blyth
16943;Lab;;F;08-210244 diak;2008-11-13;20037;Rhea;200;;Black;;40lbs;;HOLDING STRAY;Redeemed;21;Guy Palanuik
16944;Malamute;;F/S;08-210297diak;2008-11-13;20064;Velkro;200;;Silver;;75;;HOLDING STRAY;Redeemed;ks19;Karen Sinclair
16947;Shepherd X;;M/N;08-210332DI-TU;2008-11-13;20064;Poco;200;;Black & Tan;;50 lbs;;COMPLAINT;Redeemed;22;Lori Fitzgerald
